Month,Day,Year,# Killed,# Injured,Operations,State_Alabama,State_Alaska,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,State_nan,City Or County_Acworth,City Or County_Addis,City Or County_Adel,City Or County_Albany,City Or County_Alexandria,City Or County_Alford,City Or County_Allentown,City Or County_Alma,City Or County_Altamont,City Or County_Altoona,City Or County_Altus,City Or County_Alvin,City Or County_Amelia,City Or County_Anderson,City Or County_Annapolis,City Or County_Apison,City Or County_Apopka,City Or County_Ardmore,City Or County_Atlanta,City Or County_Auburn,City Or County_Aurora,City Or County_Avondale,City Or County_Aynor,City Or County_Azle,City Or County_Baltimore,City Or County_Barry,City Or County_Bath,City Or County_Baton Rouge,City Or County_Battle Creek,City Or County_Baytown,City Or County_Beaumont,City Or County_Beckley,City Or County_Belgrade,City Or County_Bell Gardens,City Or County_Belleville,City Or County_Beloit,City Or County_Bennettsville,City Or County_Benton,City Or County_Bentonville,City Or County_Berks,City Or County_Bethel,City Or County_Beverly,City Or County_Bexar,City Or County_Birmingham,City Or County_Bismarck,City Or County_Black Point,City Or County_Bladensburg,City Or County_Bohannon,City Or County_Box Elder,City Or County_Branson,City Or County_Bridgeport,City Or County_Bristol,City Or County_Bronx,City Or County_Brookhaven,City Or County_Brooklyn,City Or County_Brown,City Or County_Buckner,City Or County_Buffalo,City Or County_Burbank,City Or County_Burlington,City Or County_Burnet,City Or County_Butler,City Or County_Byhalia,City Or County_Caledonia,City Or County_Calhoun,City Or County_Capitol Heights,City Or County_Carbondale,City Or County_Carrollton,City Or County_Caulfield,City Or County_Cedar Rapids,City Or County_Champaign,City Or County_Chandler,City Or County_Charlestown,City Or County_Chattanooga,City Or County_Chester,City Or County_Chesterfield,City Or County_Chetek,City Or County_Chicago,City Or County_Christiansburg,City Or County_Cincinnati,City Or County_Clark,City Or County_Clarksville,City Or County_Clearwater,City Or County_Cleveland,City Or County_Cloquet,City Or County_Cocoa Beach,City Or County_Coeur D Alene,City Or County_Colorado Springs,City Or County_Columbia,City Or County_Columbiaville,City Or County_Columbus,City Or County_Concrete,City Or County_Conejos,City Or County_Conway,City Or County_Copiague,City Or County_Corona,City Or County_Corpus Christi,City Or County_Cottage Grove,City Or County_Covington,City Or County_Coward,City Or County_Crossville,City Or County_Cuttingsville,City Or County_Cypress,City Or County_Dade City,City Or County_Dallas,City Or County_Danville,City Or County_De Pere,City Or County_Decatur,City Or County_Delaware,City Or County_Delray Beach,City Or County_Denver,City Or County_Detroit,City Or County_Dickinson,City Or County_Dinwiddie,City Or County_Donna,City Or County_Douglas,City Or County_Duluth,City Or County_Duncannon,City Or County_East Orange,City Or County_Eddyville,City Or County_Edenton,City Or County_Effingham,City Or County_El Dorado,City Or County_El Indio,City Or County_Elgin,City Or County_Elma,City Or County_Elmira,City Or County_Englewood,City Or County_Ennis,City Or County_Eutaw,City Or County_Evansdale,City Or County_Fairbanks,City Or County_Fairmont,City Or County_Fayette,City Or County_Fayetteville,City Or County_Flint,City Or County_Forsyth,City Or County_Fort Lauderdale,City Or County_Fort Myers,City Or County_Fort Towson,City Or County_Fort Worth,City Or County_Fountain,City Or County_Frankfort,City Or County_Fresno,City Or County_Friendship,City Or County_Front Royal,City Or County_Gaffney,City Or County_Garner,City Or County_Gary,City Or County_Gaston,City Or County_Goodlettsville,City Or County_Grand Junction,City Or County_Grand Rapids,City Or County_Granite Falls,City Or County_Greeneville,City Or County_Greenville,City Or County_Gurdon,City Or County_Hammond,City Or County_Hampton,City Or County_Harleyville,City Or County_Hartselle,City Or County_Hartshorne,City Or County_Hartsville,City Or County_Hawkinsville,City Or County_Hayward,City Or County_Helena,City Or County_Henderson,City Or County_Hendersonville,City Or County_Henley,City Or County_Hilliard,City Or County_Hoffman Estates,City Or County_Horton,City Or County_Houston,City Or County_Hummelstown,City Or County_Huntingburg,City Or County_Huntingdon,City Or County_Huntsville,City Or County_Iliamna,City Or County_Imperial,City Or County_Indianapolis,City Or County_Iron River,City Or County_Itasca,City Or County_Ivanhoe,City Or County_Jackson,City Or County_Jacksonville,City Or County_Jasper,City Or County_Jefferson,City Or County_Jones,City Or County_Jonesboro,City Or County_Joplin,City Or County_Juneau,City Or County_Kalamazoo,City Or County_Kansas City,City Or County_Katy,City Or County_Kennett,City Or County_Kingston,City Or County_Knoxville,City Or County_La Grange,City Or County_La Place,City Or County_La Porte,City Or County_La Salle,City Or County_Lake View,City Or County_Lake Worth,City Or County_Lancaster,City Or County_Larose,City Or County_Las Vegas,City Or County_Laurel,City Or County_Lawrenceville,City Or County_Lawton,City Or County_Lebanon,City Or County_Lees Summit,City Or County_Leesville,City Or County_Leighton,City Or County_Leland,City Or County_Lemoore,City Or County_Lewis And Clark,City Or County_Lewisport,City Or County_Libby,City Or County_Liberty,City Or County_Lithonia,City Or County_Little Falls,City Or County_Little Rock,City Or County_Lockesburg,City Or County_Los Angeles,City Or County_Louisville,City Or County_Lower Brule,City Or County_Lowmansville,City Or County_Lubbock,City Or County_Lumberton,City Or County_Madison,City Or County_Magee,City Or County_Makawao,City Or County_Manson,City Or County_Many,City Or County_Marion,City Or County_Marrero,City Or County_Maynard,City Or County_Mc Comb,City Or County_Mcdonough,City Or County_Medford,City Or County_Memphis,City Or County_Meridian,City Or County_Miami,City Or County_Miami Gardens,City Or County_Milwaukee,City Or County_Mineral Wells,City Or County_Missaukee,City Or County_Mobile,City Or County_Monroe,City Or County_Montgomery,City Or County_Morgantown,City Or County_Morris,City Or County_Mount Morris,City Or County_Mount Pleasant,City Or County_Mount Vernon,City Or County_Mountain View,City Or County_Mountville,City Or County_Muscle Shoals,City Or County_Muskegon,City Or County_Myrtle Beach,City Or County_Naples,City Or County_Nashua,City Or County_Nashville,City Or County_Natchez,City Or County_Natchitoches,City Or County_Natrona,City Or County_New Kensington,City Or County_New Orleans,City Or County_Norcross,City Or County_Norristown,City Or County_North Liberty,City Or County_North Little Rock,City Or County_Oakland,City Or County_Omaha,City Or County_Orlando,City Or County_Oskaloosa,City Or County_Overland Park,City Or County_Oxford,City Or County_Palestine,City Or County_Palm Beach Gardens,City Or County_Pandora,City Or County_Paradise,City Or County_Paris,City Or County_Park,City Or County_Parrottsville,City Or County_Patterson,City Or County_Pemberton Township,City Or County_Philadelphia,City Or County_Phoenix,City Or County_Pinellas Park,City Or County_Pineville,City Or County_Pitt,City Or County_Pittsboro,City Or County_Pittsburgh,City Or County_Poplar Bluff,City Or County_Port Orange,City Or County_Portsmouth,City Or County_Powell Township,City Or County_Punta Gorda,City Or County_Puyallup,City Or County_Quakertown,City Or County_Rice Lake,City Or County_Richmond,City Or County_Rio Rancho,City Or County_Riverside,City Or County_Roanoke,City Or County_Rochester,City Or County_Rock,City Or County_Rock Hill,City Or County_Rockdale,City Or County_Rolling Fork,City Or County_Rome,City Or County_Rosamond,City Or County_Rosebud,City Or County_Roseville,City Or County_Sabillasville,City Or County_Sacramento,City Or County_Saint Albans,City Or County_Saint Cloud,City Or County_Saint Gabriel,City Or County_Saint Louis,City Or County_Saint Lucie,City Or County_Salem,City Or County_Salina,City Or County_Saltville,City Or County_San Antonio,City Or County_San Benito,City Or County_Sanborn,City Or County_Sandston,City Or County_Sandy Creek,City Or County_Sanford,City Or County_Sarasota,City Or County_Searcy,City Or County_Seattle,City Or County_Sharpsburg,City Or County_Shelby,City Or County_Shreveport,City Or County_Sioux Falls,City Or County_Somerset,City Or County_South Hutchinson,City Or County_Spanish Fork,City Or County_Spencer,City Or County_Spokane,City Or County_Stamford,City Or County_Statesboro,City Or County_Statesville,City Or County_Steamboat Springs,City Or County_Stockton,City Or County_Stoneham,City Or County_Studio City,City Or County_Summerton,City Or County_Sunman,City Or County_Sutton,City Or County_Suttons Bay,City Or County_Talladega,City Or County_Tallahassee,City Or County_Tampa,City Or County_Tempe,City Or County_Temple Hills,City Or County_Terrebonne,City Or County_Thibodaux,City Or County_Toledo,City Or County_Toney,City Or County_Toombs,City Or County_Trenton,City Or County_Trinidad,City Or County_Troy,City Or County_Tucson,City Or County_Union,City Or County_Union City,City Or County_Universal City,City Or County_Victorville,City Or County_Virginia Beach,City Or County_Volusia,City Or County_Warsaw,City Or County_Waukegan,City Or County_Waxahachie,City Or County_Wayne,City Or County_Webb,City Or County_Weiser,City Or County_West Palm Beach,City Or County_White Plains,City Or County_Wichita,City Or County_Williamsburg,City Or County_Wilmington,City Or County_Windham,City Or County_Winona,City Or County_Winter Haven,City Or County_Yacolt,City Or County_Yankton,City Or County_York,City Or County_Ypsilanti,City Or County_Zellwood,City Or County_nan,clazz
10,17,2015,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17,2015,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17,2015,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17,2015,1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17,2016,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,2015,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,2016,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19,2015,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19,2015,1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19,2015,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
